RAEKE+LB (fixed),RAEKE+LB (inv_cap),KSP+AD (fixed),KSP+AD (inv_cap)
0.7047192895082711,1.0,0.8,0.7999999999999999
0.5946287663025834,0.9693705607669436,0.6666666666666666,0.6666666666666666
0.6300771970020342,1.0,0.711028486197902,0.711028486197902
1.0,1.0,0.8082333967084403,0.8082333967084403
0.4914833427016506,0.6196416761660573,0.8219754754301716,0.7993069404365934
0.8002648616545363,0.8309192769044697,0.5574831291763689,0.6476496062004782
0.6296662082261962,1.0,0.8492024260552459,0.7803103851720403
0.47593524782209357,0.6681112046255918,0.8148087345830238,0.8506029896205738
1.0,1.0,0.842149840641225,0.8239103550606305
1.0,1.0,0.8,0.8
0.6658035103338241,0.651380568964525,0.7950796968133514,0.7161730162854931
1.0,1.0,0.9211128356626345,0.9093087603139847
0.7632595185305531,0.9246251784340022,0.3466403536194751,0.348449036580951
1.0,1.0,0.8,0.8000000000000002
0.8453518120210333,0.9243096101951838,0.6811268003424912,0.6811268003424914
0.6236397771021849,0.9369526021802519,0.9000000000000001,0.8467116294984253
0.2336302429726022,0.3471222392503528,0.6547995281968993,0.6547995281968996
0.9236075373831931,0.8509017985049726,0.8,0.8
0.968767478958241,1.0,0.7709710155114176,0.7709710155114174
0.605130963530622,0.709683857423706,0.7963127979883764,0.7898378789216897
0.8612006798959762,0.9909531797134203,0.8267897208911931,0.8264364124346248
0.9147414166047777,1.0,0.95,0.95
0.8182879058061601,0.8375750941245167,0.95,0.9066500996278999
1.0,1.0,0.95,0.95
0.8714473750535022,0.7614656539383211,0.9,0.9
1.0,1.0,0.95,0.95
0.7876952888745762,0.7651415078114342,0.8,0.6546912309030025
0.5316043995326291,0.3847687359518553,0.8443735372398541,0.8431054380896115
0.9493490318774354,0.889272079018705,0.8934571226131239,0.9000000000000001
1.0,1.0,0.6666666666666667,0.6816324068546006
0.6385044610220382,0.6201814561746476,0.8,0.8000000000000002
0.6213334320843159,0.9317643639728301,0.653632341507702,0.6536323415077019
0.954239475898781,0.9462384410721891,0.8603055220762983,0.8523765413332748
0.6078700631412078,1.0,0.8,0.8
1.0,1.0,0.9350227363198075,0.8653122554476682
0.37314227104552544,0.5233998541069946,0.4096564189481116,0.40965641894811156
1.0,1.0,0.9251706091136297,0.8841456838863405
1.0,1.0,0.9500000000000001,0.9500000000000003
1.0,1.0,0.8999999999999998,0.8999999999999998
0.9556389152367475,0.8669092748958107,0.5362682270838536,0.5383481941655253
1.0,1.0,0.8550492840345066,0.9
1.0,0.9561206062248286,0.9000000000000002,0.9000000000000002
0.6314175076505214,0.5756510372261199,0.9500000000000001,0.9500000000000001
1.0,0.9478834136708268,0.7263924207142198,0.7054116858324835
0.8501328582264412,1.0,0.8,0.7999999999999999
0.8906980622122276,0.8457287466228424,0.5071465728917344,0.4510347712859344
0.6476071949005484,0.4921289592150452,0.6428317542426458,0.6428317542426458
0.7186447862492865,0.8596835068639611,0.8442092450283957,0.8384637907445752
1.0,1.0,0.8999999999999999,0.9000000000000001
1.0,1.0,0.8999999999999998,0.9
0.4782831841744411,1.0,0.9,0.8738685481816313
0.7816454717191887,1.0,0.6011024376657738,0.5879796196933691
0.9100908538648029,1.0,0.6004384160706594,0.6469333985528428
0.7457156562346842,0.9802615213019789,0.9,0.8242168322721664
0.8584035561683755,0.8836966923421721,0.9500000000000004,0.9500000000000001
1.0,1.0,0.9000000000000001,0.9349019733712738
0.5726426545832376,0.5978141724560814,0.6523526890803415,0.5421586584078852
0.3289314225509462,0.48150593803678227,0.6140210921917328,0.6666666666666665
0.6604606573622813,0.483171911896397,0.8000000000000002,0.8000000000000002
0.7076086246872814,0.6790719845986787,0.8918359028622534,0.8918359028622534
0.5940827530072765,0.6682157050382888,0.5277990212553367,0.5117219624434898
0.8981980583142881,0.8449971239705264,0.6463634953525208,0.6666666666666664
0.5526587773203345,0.4352352011887593,0.6666666666666665,0.6666666666666664
0.7605429409353929,0.9768583269970114,0.8999999999999999,0.9
0.5689116945006526,0.4820153194900398,0.8919319516998381,0.8919319516998379
0.42588016892350083,0.5813991910616108,0.6215426948716904,0.6215426948716904
1.0,1.0,0.9335294595555717,0.9409938543621261
1.0,1.0,0.7612116141874322,0.7112116141874323
1.0,1.0,0.6131585031137935,0.5442594929218971
0.7082607736927244,0.6662802631854675,0.5826753079949488,0.5826753079949487
0.6145580936897742,0.6778747114267509,0.6666666666666667,0.6717642859351577
0.9463895239038254,1.0,0.8999999999999998,0.8999999999999999
1.0,1.0,0.9000000000000002,0.9000000000000002
1.0,1.0,0.8,0.7817104067523363
0.8007061140884866,0.7877909736992219,0.5814718484252592,0.5814718484252592
0.9966543392749557,1.0,0.8633561653623467,0.8633561653623467
0.6579976142727961,0.5661044251459911,0.8000000000000002,0.8000000000000003
0.7241296189931836,0.7450445671409063,0.8999999999999999,0.8999999999999998
1.0,0.6559828772077512,0.6887962192760978,0.6887962192760977
1.0,1.0,0.9430680016463794,0.9430680016463793
0.7897864907217864,1.0,0.5613780527413837,0.5613780527413835
0.9669397373882133,0.9669397373882138,0.7433749260839626,0.7080748585953038
1.0,1.0,0.8112002889003931,0.8112002889003929
1.0,1.0,0.9499999999999998,0.9499999999999998
1.0,0.9366350391935906,0.7020043947164089,0.7020043947164087
1.0,1.0,0.9,0.95
1.0,1.0,0.7873801443047105,0.6958210528867564
0.8608798020752985,0.8305902698406917,0.48472016540527524,0.27431737475287965
0.8658365830728401,0.8658365830728401,0.4020867133536069,0.3878467581125979
1.0,1.0,0.5912576629498427,0.5912576629498428
0.9015665917520722,0.9015665917520721,0.6154198393757007,0.6154198393757009
0.6721834934548139,0.6721834934548141,0.3880051572784495,0.3880051572784496
0.8415637098190274,0.8415637098190272,0.393818436203924,0.39381843620392376
1.0,1.0,0.5493171581076599,0.5493171581076601
1.0,1.0,0.5993067503512802,0.5998420243223428
1.0,1.0,0.821993990682958,0.8010952238655565
1.0,1.0,0.95,0.9499999999999998
1.0,1.0,0.95,0.9500000000000001
1.0,1.0,0.8510504162762658,0.905452171683688
0.9888949589179729,0.9848081156864279,0.8975069369439852,0.9089635607223102
0.999430216364872,0.9244169422946381,0.8365550861023563,0.8365550861023563
1.0,1.0,0.8174911974498599,0.8174911974498599
1.0,1.0,0.793166708829462,0.7931667088294619
0.9870716359657116,1.0,0.4776199002658213,0.4776199002658213
0.8585803759812232,0.8585803759812233,0.47259889912364966,0.47259889912364955
1.0,1.0,0.6544280474103381,0.6544280474103384
0.8291447459833506,0.8185318022145652,0.5341919643489259,0.5072326589761246
1.0,0.9053411151999466,0.46343532935388654,0.46343532935388626
1.0,1.0,0.7026627774548986,0.7026627774548984
1.0,1.0,0.9500000000000001,0.9499999999999997
