RAEKE+LB (fixed),KSP+LB (fixed)
0.590013396,0.582603626
0.849360736,0.827620971
0.829331671,0.811063741
0.744464973,0.745373082
0.790243859,0.717163339
0.731247151,0.829168966
0.833404366,0.818835092
0.723165642,0.872483848
0.843638302,0.822101196
0.845471204,0.834472238
0.782911256,0.845613578
0.831656118,0.748270283
0.840036232,0.846188829
0.709792196,0.816920317
0.753862622,0.804438048
0.779438581,0.812931651
0.756008675,0.807772474
0.816293941,0.805961712
0.830732755,0.830732755
0.844414007,0.834693952
0.726572799,0.835914848
0.732112817,0.865347518
0.759911217,0.818284189
0.810010579,0.799277505
0.827946588,0.821769654
0.728865381,0.798673442
0.802672557,0.836070729
0.808304661,0.797744717
0.831334009,0.807184545
0.693826933,0.792052266
0.842702036,0.792233953
0.856893332,0.676673028
0.756177236,0.754252425
0.725007622,0.792911762
0.814045385,0.804995395
0.814789388,0.711362538
0.833281337,0.821541969
0.815271253,0.815271253
0.820439404,0.808253067
