RAEKE+LB,RAEKE+AD,KSP+LB,KSP+AD
2.3887916955065,2.471910255443,2.388791695506499,2.676066691712
2.1721826142575003,2.1540463886903334,2.1721826142575007,2.2942266927313333
2.050373572383,1.8423790836953333,2.050373572383001,1.988453369395333
2.080714804325,1.8772073854986673,2.0807148043250003,2.0834774459313334
2.037865270016,1.8240481168583338,2.0378652700160007,1.9674391239783335
1.9180245273720002,1.7390767185900002,1.918024527372,1.6545121718390003
1.7889771460395,1.405043092713,1.7889771460395,1.4050430927130004
1.7768130285059998,1.3762523619170002,1.7768130285060004,1.376252361917
1.6743079286459999,1.1327890951410002,1.674307928646,1.1327890951410005
1.6694494062174998,1.322756715208,1.6694494062175,1.322756715208
1.716166862393,1.447081152828,1.716166862393,1.4470811528280003
1.7531263296935,1.5388364434010002,1.7531263296935,1.5388364434010002
1.7548592229305,1.535253673603,1.7548592229304998,1.535253673603
