ALL+LB,ALL+AD,RAEKE+LB,RAEKE+AD,KSP+LB,KSP+AD
1.3739456281590854,2.6483652679630536,1.3751062754353036,2.3556616870001426,1.405413362201628,2.6483652679630527
1.3602184470169187,2.4445722897329265,1.361343806636531,2.2808649418469544,1.4032819609139966,2.4265012603861495
1.3933004247042196,2.205661110903372,1.39444062279366,2.4435016390155644,1.4221260018076782,2.3102202638752294
1.3577952554719215,2.244469134790677,1.358904295139936,2.404118792887984,1.363247806472046,2.285345969560404
1.382904431864148,2.2347064872160955,1.384031461980571,2.675094956271147,1.4420533582238078,2.2615187380457407
1.3113766237866056,2.3550218301458568,1.3124005908094423,2.3242468062448656,1.3545846155140846,2.37629217863773
1.3463009118841716,2.4186344601088154,1.3474330980725662,2.1730333230358876,1.346300911884172,2.112619732766977
1.344465070155914,2.088498337263957,1.345518972446169,2.5204727521345456,1.3810287124636984,2.4732087921068437
1.434049348012625,2.598495035025648,1.4353121177996426,2.8157930755862064,1.460209806991746,2.8313366526750054
1.3175781752993936,2.4090625951427804,1.3185907669000592,2.2700358560778957,1.3645843071255288,2.1445838005471125
1.2974226550683567,2.2158149847406197,1.298521356869069,2.1165879962815364,1.3613780379171638,2.198244245460903
1.4322938993477654,2.456439122010865,1.4334106032851677,2.501070879713888,1.4331768853319906,2.558944867655797
1.3285409636096361,2.1794111452289533,1.3296173220673557,2.3497814887283974,1.4366409704307972,2.272012882947754
1.3312359584469022,2.4434794198514576,1.332287341536957,2.4131193294652653,1.370833262708299,2.0671646359863036
1.3520447051906335,2.3391977018466776,1.353126384431452,2.4022659386297867,1.3520447051906337,2.442313081899086
1.3865224064103858,2.4213765747445017,1.3877233285135566,2.7013021746602517,1.394817414728689,2.6778009815910466
1.377016336578269,2.3139118858459087,1.378170864200384,2.414373527093466,1.3770163365782688,2.2719602940545958
1.3458779051353635,2.4608299788453754,1.3469927441334695,2.278390560328081,1.376100121488335,2.1980514729733334
1.3402870597915095,2.448404107045058,1.3413779915041992,2.230751679461369,1.3826108061216273,2.149487874311592
1.3118049932306097,2.0337970499752567,1.312861966156944,2.1896718012576457,1.4089478101521071,2.278024995693599
1.4511604910487492,2.5805247354273106,1.45230124819521,2.8029531243465264,1.4511604910487494,2.82787765455782
1.3645696880835119,2.3314927366887708,1.3657159123505995,2.4335173054684662,1.4233869755417081,2.2900000189566323
1.362394086974207,2.54641388426812,1.363501972155588,2.2981925894428357,1.4058867707751825,2.306391420775994
1.3747092645114836,2.5623716165322312,1.3758397251516952,2.4317279339091606,1.455969484503855,2.413419915355456
1.381951678079044,2.30725390181806,1.3831463143749574,2.5219606202983216,1.3819516780790437,2.5459892423881896
1.3616502036400726,2.2085491787308564,1.3627393178783633,2.2703556484209684,1.3616502036400724,2.3180476407487776
1.377184217089561,2.362660382698975,1.3783306038989602,2.6090962315174977,1.37809165553893,2.2869299450160967
